año,mes,día,hora,día_d_año,semana_d_año,día_d_semana,Cuatrimestre,X,Y,hurto_simple,robo,robo_agr,hurto_agr,hurto_casa,hurto_auto
2014,3,3,18,62,10,0,1,-77.00281494,-12.09464256,1.0,0.0,0.0,0.0,0.0,0.0
2014,7,25,5,206,30,4,3,-77.00281494,-12.09464256,1.0,0.0,0.0,0.0,0.0,0.0
2014,11,28,19,332,48,4,4,-77.00281494,-12.09464256,0.0,1.0,0.0,0.0,0.0,0.0
2014,2,27,5,58,9,3,1,-77.00584427,-12.09461826,1.0,0.0,0.0,0.0,0.0,0.0
2014,8,26,18,238,35,1,3,-77.00584427,-12.09461826,0.0,0.0,0.0,1.0,0.0,0.0
2014,7,24,21,205,30,3,3,-77.02581494,-12.09445989,1.0,0.0,0.0,0.0,0.0,0.0
2014,9,13,13,256,37,5,3,-77.029815,-12.09441448,1.0,0.0,0.0,0.0,0.0,0.0
2014,1,25,1,25,4,5,1,-77.00248562,-12.09456825,0.0,0.0,0.0,1.0,0.0,0.0
2014,1,6,19,6,2,0,1,-77.03402411,-12.09432958,0.0,1.0,0.0,0.0,0.0,0.0
2014,7,31,16,212,31,3,3,-77.03402411,-12.09432958,0.0,0.0,0.0,1.0,0.0,0.0
2014,1,16,20,16,3,3,1,-77.00419955,-12.09452139,0.0,1.0,0.0,0.0,0.0,0.0
2014,7,21,19,202,30,0,3,-77.00419955,-12.09452139,0.0,1.0,0.0,0.0,0.0,0.0
2014,10,22,10,295,43,2,4,-77.00419955,-12.09452139,0.0,0.0,1.0,0.0,0.0,0.0
2014,11,27,13,331,48,3,4,-76.99308538,-12.09459297,0.0,0.0,0.0,0.0,0.0,1.0
2014,8,6,14,218,32,2,3,-77.01919016,-12.09438333,1.0,0.0,0.0,0.0,0.0,0.0
2014,10,23,15,296,43,3,4,-77.02899493,-12.09430371,1.0,0.0,0.0,0.0,0.0,0.0
2014,8,22,16,234,34,4,3,-77.03401568,-12.09421886,1.0,0.0,0.0,0.0,0.0,0.0
2014,8,21,13,233,34,3,3,-77.02517209,-12.09428143,1.0,0.0,0.0,0.0,0.0,0.0
2014,7,7,12,188,28,0,3,-77.02517209,-12.09428143,1.0,0.0,0.0,0.0,0.0,0.0
2014,8,22,10,234,34,4,3,-77.02517209,-12.09428143,1.0,0.0,0.0,0.0,0.0,0.0
2014,12,28,23,362,52,6,4,-77.01002441,-12.09435364,0.0,1.0,0.0,0.0,0.0,0.0
2014,11,25,9,329,48,1,4,-77.04502523,-12.09406267,0.0,0.0,0.0,1.0,0.0,0.0
2014,11,15,22,319,46,5,4,-77.04502523,-12.09406267,1.0,0.0,0.0,0.0,0.0,0.0
2014,3,4,9,63,10,1,1,-76.98587213,-12.0944713,0.0,0.0,0.0,1.0,0.0,0.0
2014,6,22,19,173,25,6,2,-76.98587213,-12.0944713,1.0,0.0,0.0,0.0,0.0,0.0
2014,11,20,19,324,47,3,4,-77.03457487,-12.09408982,0.0,0.0,1.0,0.0,0.0,0.0
2014,4,13,18,103,15,6,2,-77.03496949,-12.09408042,1.0,0.0,0.0,0.0,0.0,0.0
